Category,File Name,AI Confidence Score
Excellent (90-100%),mdb301.png,100.0%
Excellent (90-100%),mdb315.png,96.4%
Excellent (90-100%),mdb311.png,99.2%
Excellent (90-100%),mdb113.png,96.4%
Excellent (90-100%),mdb098.png,99.9%
Excellent (90-100%),mdb067.png,96.0%
Excellent (90-100%),mdb073.png,91.0%
Excellent (90-100%),mdb265.png,94.1%
Excellent (90-100%),mdb270.png,90.7%
Excellent (90-100%),mdb099.png,92.0%
Excellent (90-100%),mdb310.png,99.7%
Excellent (90-100%),mdb058.png,91.4%
Excellent (90-100%),mdb070.png,92.2%
Excellent (90-100%),mdb064.png,93.7%
Excellent (90-100%),mdb299.png,92.5%
Excellent (90-100%),mdb267.png,90.9%
Excellent (90-100%),mdb071.png,96.2%
Excellent (90-100%),mdb059.png,100.0%
Excellent (90-100%),mdb313.png,93.4%
Good (75-89%),mdb322.png,87.7%
Good (75-89%),mdb120.png,87.9%
Good (75-89%),mdb108.png,87.7%
Good (75-89%),mdb068.png,87.5%
Good (75-89%),mdb242.png,80.3%
Good (75-89%),mdb294.png,81.6%
Good (75-89%),mdb069.png,75.0%
Good (75-89%),mdb041.png,86.0%
Good (75-89%),mdb055.png,80.2%
Good (75-89%),mdb082.png,88.3%
Good (75-89%),mdb121.png,79.8%
Good (75-89%),mdb321.png,81.3%
Good (75-89%),mdb123.png,75.0%
Good (75-89%),mdb080.png,87.5%
Good (75-89%),mdb057.png,85.7%
Good (75-89%),mdb241.png,86.5%
Good (75-89%),mdb255.png,75.2%
Good (75-89%),mdb269.png,86.7%
Good (75-89%),mdb042.png,84.6%
Good (75-89%),mdb095.png,83.6%
Good (75-89%),mdb126.png,76.1%
Good (75-89%),mdb085.png,86.8%
Good (75-89%),mdb278.png,78.1%
Good (75-89%),mdb244.png,88.0%
Good (75-89%),mdb286.png,75.5%
Good (75-89%),mdb092.png,88.6%
Good (75-89%),mdb086.png,83.4%
Good (75-89%),mdb290.png,76.5%
Good (75-89%),mdb284.png,78.1%
Good (75-89%),mdb247.png,86.1%
Good (75-89%),mdb285.png,77.4%
Good (75-89%),mdb050.png,78.8%
Good (75-89%),mdb078.png,80.9%
Good (75-89%),mdb087.png,79.0%
Good (75-89%),mdb124.png,82.0%
Good (75-89%),mdb194.png,89.1%
Good (75-89%),mdb157.png,89.7%
Good (75-89%),mdb235.png,86.5%
Good (75-89%),mdb208.png,84.6%
Good (75-89%),mdb156.png,86.9%
Good (75-89%),mdb195.png,79.7%
Good (75-89%),mdb197.png,78.2%
Good (75-89%),mdb154.png,89.2%
Good (75-89%),mdb008.png,80.5%
Good (75-89%),mdb222.png,85.0%
Good (75-89%),mdb035.png,79.6%
Good (75-89%),mdb169.png,84.7%
Good (75-89%),mdb182.png,75.6%
Good (75-89%),mdb192.png,87.7%
Good (75-89%),mdb145.png,80.2%
Good (75-89%),mdb019.png,85.9%
Good (75-89%),mdb227.png,84.7%
Good (75-89%),mdb233.png,82.7%
Good (75-89%),mdb232.png,77.3%
Good (75-89%),mdb150.png,83.2%
Good (75-89%),mdb178.png,83.9%
Good (75-89%),mdb191.png,85.4%
Good (75-89%),mdb146.png,78.2%
Good (75-89%),mdb032.png,81.8%
Good (75-89%),mdb218.png,78.0%
Good (75-89%),mdb230.png,85.5%
Good (75-89%),mdb033.png,77.9%
Good (75-89%),mdb153.png,84.9%
Good (75-89%),mdb147.png,83.5%
Good (75-89%),mdb184.png,77.1%
Good (75-89%),mdb162.png,80.7%
Good (75-89%),mdb016.png,81.6%
Good (75-89%),mdb214.png,81.8%
Good (75-89%),mdb228.png,86.3%
Good (75-89%),mdb215.png,87.9%
Good (75-89%),mdb003.png,79.9%
Good (75-89%),mdb177.png,89.6%
Good (75-89%),mdb163.png,85.1%
Good (75-89%),mdb001.png,86.6%
Good (75-89%),mdb217.png,87.9%
Good (75-89%),mdb148.png,82.9%
Good (75-89%),mdb170.png,85.2%
Good (75-89%),mdb010.png,89.3%
Good (75-89%),mdb165.png,89.3%
Good (75-89%),mdb198.png,77.2%
Good (75-89%),mdb210.png,75.3%
Good (75-89%),mdb006.png,77.7%
Good (75-89%),mdb172.png,78.9%
Good (75-89%),mdb303.png,89.5%
Good (75-89%),mdb101.png,85.0%
Good (75-89%),mdb129.png,82.4%
Good (75-89%),mdb277.png,82.1%
Good (75-89%),mdb276.png,82.6%
Good (75-89%),mdb074.png,83.5%
Good (75-89%),mdb100.png,89.0%
Good (75-89%),mdb300.png,76.1%
Good (75-89%),mdb076.png,80.0%
Good (75-89%),mdb249.png,88.4%
Good (75-89%),mdb275.png,79.2%
Good (75-89%),mdb117.png,75.9%
Good (75-89%),mdb305.png,79.9%
Good (75-89%),mdb107.png,83.3%
Good (75-89%),mdb259.png,85.4%
Good (75-89%),mdb271.png,84.3%
Good (75-89%),mdb264.png,86.1%
Good (75-89%),mdb072.png,77.1%
Good (75-89%),mdb066.png,85.0%
Good (75-89%),mdb106.png,84.6%
Good (75-89%),mdb112.png,83.7%
Good (75-89%),mdb304.png,75.9%
Good (75-89%),mdb306.png,86.7%
Good (75-89%),mdb312.png,77.0%
Good (75-89%),mdb138.png,87.6%
Good (75-89%),mdb104.png,75.8%
Good (75-89%),mdb110.png,85.0%
Good (75-89%),mdb273.png,76.4%
Good (75-89%),mdb298.png,87.2%
Good (75-89%),mdb065.png,84.5%
Good (75-89%),mdb111.png,89.9%
Good (75-89%),mdb139.png,84.5%
Good (75-89%),mdb307.png,84.6%
Borderline (50-74%),mdb040.png,71.3%
Borderline (50-74%),mdb295.png,66.2%
Borderline (50-74%),mdb281.png,67.5%
Borderline (50-74%),mdb096.png,71.5%
Borderline (50-74%),mdb109.png,67.4%
Borderline (50-74%),mdb043.png,56.5%
Borderline (50-74%),mdb297.png,64.5%
Borderline (50-74%),mdb283.png,73.9%
Borderline (50-74%),mdb122.png,67.2%
Borderline (50-74%),mdb318.png,50.7%
Borderline (50-74%),mdb132.png,56.9%
Borderline (50-74%),mdb046.png,68.5%
Borderline (50-74%),mdb293.png,73.2%
Borderline (50-74%),mdb251.png,53.8%
Borderline (50-74%),mdb245.png,66.8%
Borderline (50-74%),mdb084.png,57.8%
Borderline (50-74%),mdb291.png,64.4%
Borderline (50-74%),mdb130.png,52.6%
Borderline (50-74%),mdb118.png,60.4%
Borderline (50-74%),mdb209.png,73.6%
Borderline (50-74%),mdb220.png,56.0%
Borderline (50-74%),mdb181.png,72.0%
Borderline (50-74%),mdb168.png,72.7%
Borderline (50-74%),mdb236.png,53.5%
Borderline (50-74%),mdb223.png,62.2%
Borderline (50-74%),mdb021.png,52.5%
Borderline (50-74%),mdb196.png,63.4%
Borderline (50-74%),mdb031.png,73.0%
Borderline (50-74%),mdb030.png,62.7%
Borderline (50-74%),mdb193.png,68.8%
Borderline (50-74%),mdb185.png,71.8%
Borderline (50-74%),mdb152.png,64.5%
Borderline (50-74%),mdb224.png,50.3%
Borderline (50-74%),mdb225.png,70.0%
Borderline (50-74%),mdb190.png,57.5%
Borderline (50-74%),mdb189.png,58.8%
Borderline (50-74%),mdb002.png,52.2%
Borderline (50-74%),mdb200.png,64.8%
Borderline (50-74%),mdb017.png,73.9%
Borderline (50-74%),mdb188.png,71.6%
Borderline (50-74%),mdb149.png,54.0%
Borderline (50-74%),mdb203.png,71.6%
Borderline (50-74%),mdb014.png,60.2%
Borderline (50-74%),mdb164.png,72.4%
Borderline (50-74%),mdb038.png,66.7%
Borderline (50-74%),mdb004.png,71.3%
Borderline (50-74%),mdb206.png,61.8%
Borderline (50-74%),mdb213.png,66.3%
Borderline (50-74%),mdb011.png,70.5%
Borderline (50-74%),mdb039.png,63.5%
Borderline (50-74%),mdb159.png,62.7%
Borderline (50-74%),mdb013.png,59.7%
Borderline (50-74%),mdb211.png,66.2%
Borderline (50-74%),mdb205.png,71.8%
Borderline (50-74%),mdb012.png,74.0%
Borderline (50-74%),mdb166.png,56.9%
Borderline (50-74%),mdb075.png,71.4%
Borderline (50-74%),mdb049.png,51.0%
Borderline (50-74%),mdb114.png,72.3%
Borderline (50-74%),mdb314.png,65.8%
Borderline (50-74%),mdb116.png,74.4%
Borderline (50-74%),mdb062.png,51.1%
Borderline (50-74%),mdb260.png,68.2%
Borderline (50-74%),mdb248.png,59.0%
Borderline (50-74%),mdb261.png,58.8%
Borderline (50-74%),mdb088.png,63.7%
Borderline (50-74%),mdb103.png,68.9%
Borderline (50-74%),mdb258.png,51.3%
Borderline (50-74%),mdb272.png,58.6%
Borderline (50-74%),mdb266.png,56.2%
Borderline (50-74%),mdb105.png,70.2%
Critical (<50%),mdb025.png,49.7%
Critical (<50%),mdb115.png,46.7%
Critical (<50%),mdb288.png,36.5%
